Nombre,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Juan,A,B,C,D,A,B,C,D,A,B
María,B,B,C,D,A,B,C,D,A,B
Pedro,A,B,A,D,C,B,A,D,C,B
Luisa,A,B,C,D,A,B,C,D,A,B
Carlos,A,B,C,D,A,B,C,D,A,C
Ana,A,B,C,D,A,B,C,D,A,B
Luis,A,B,C,D,A,B,C,D,A,B
Sofía,A,B,C,D,A,B,C,D,A,B
Diego,A,B,C,D,A,B,C,D,A,B
Elena,A,B,C,D,A,B,C,D,A,B
Mario,A,B,C,D,A,B,C,D,A,B
Laura,A,B,C,D,A,B,C,D,A,B
Jorge,A,B,C,D,A,B,C,D,A,B
Patricia,A,B,C,D,A,B,C,D,A,B
Ricardo,A,B,C,D,A,B,C,D,A,B
Fernanda,A,B,C,D,A,B,C,D,A,B
Gabriel,A,B,C,D,A,B,C,D,A,B
Diana,A,B,C,D,A,B,C,D,A,B
Roberto,A,B,C,D,A,B,C,D,A,B
Claudia,A,B,C,D,A,B,C,D,A,B
